HF538971.1_3 HF538869.1_7 HF539313.1_2 HF539072.1_7 HF539095.1_2 HF539325.1_21 HF539299.1_2 HF539072.1_6 HF538868.1_4 HF538805.1_3 HF539318.1_8 HF539210.1_20 HF538852.1_13 HF539311.1_4 HF538698.1_2 HF539037.1_11 HF539309.1_19 HF539232.1_2 HF538977.1_6 HF538994.1_3 HF538971.1_2 HF538878.1_11 HF538945.1_26 HF539325.1_30 HF538733.1_17 HF539278.1_1 HF538878.1_17 HF539117.1_4 HF538706.1_2 HF538763.1_1 HF538729.1_2 HF539197.1_2 HF538641.1_2 HF539095.1_12 HF539047.1_1 HF538938.1_4 HF538878.1_18 HF538706.1_1 HF538788.1_6 HF538928.1_3 HF539318.1_4 HF538805.1_6 HF539318.1_5 HF539240.1_2 HF539072.1_1 HF539315.1_8 HF538671.1_4 HF539218.1_1 HF538805.1_5 HF539110.1_2 HF539198.1_1 HF539284.1_1 HF538747.1_18 HF538836.1_1 HF538918.1_2 HF538939.1_3 HF539283.1_1 HF538787.1_1 HF539316.1_16 HF538845.1_1 HF539268.1_1 HF539315.1_10 HF539086.1_1 HF538833.1_4 HF539037.1_1 HF539047.1_2 HF539075.1_1 HF538837.1_1 
HF539320.1_11 HF538878.1_15 HF538999.1_2 HF538801.1_30 HF539095.1_21 HF538869.1_12 HF539304.1_3 HF539309.1_42 HF539325.1_5 HF539299.1_21 HF538898.1_15 HF538747.1_6 HF538856.1_2 HF538963.1_5 HF538795.1_4 HF538733.1_18 HF539125.1_4 HF539200.1_2 HF538801.1_23 HF539290.1_2 HF539001.1_2 HF538978.1_21 HF539242.1_9 
HF539037.1_5 HF538898.1_13 HF538678.1_7 HF539055.1_7 HF539302.1_21 HF538958.1_9 HF539198.1_6 HF539117.1_8 HF539055.1_11 HF539302.1_9 HF539244.1_13 HF538733.1_14 HF539324.1_12 HF538990.1_1 HF539071.1_13 HF538751.1_4 HF539063.1_10 
HF539202.1_2 HF539099.1_1 HF538619.1_2 HF539189.1_1 HF539065.1_2 HF538619.1_1 HF539020.1_1 HF539202.1_3 HF539044.1_1 HF538717.1_1 HF538895.1_1 HF539281.1_1 HF538765.1_1 HF539140.1_2 
HF539162.1_1 HF538868.1_2 HF538749.1_88 HF538788.1_7 HF538801.1_28 HF539298.1_14 HF538854.1_3 HF538775.1_1 HF539092.1_14 
HF539303.1_2 HF539320.1_7 HF539200.1_1 HF539025.1_5 HF538747.1_8 HF539049.1_2 HF539159.1_2 
HF539318.1_3 HF539095.1_5 HF538977.1_20 HF538747.1_2 HF539300.1_5 HF538958.1_2 HF539150.1_2 
HF538767.1_3 HF539248.1_2 HF539032.1_4 HF539117.1_25 HF539197.1_1 HF539218.1_2 
HF539304.1_2 HF538999.1_3 HF539095.1_22 HF538747.1_7 HF539309.1_43 
HF539300.1_3 HF539032.1_3 HF538978.1_1 HF538801.1_26 HF539248.1_1 
HF538963.1_6 HF539232.1_3 HF538707.1_2 HF538741.1_11 HF538841.1_1 
HF538670.1_8 HF539257.1_6 HF539053.1_4 HF538767.1_7 HF539299.1_26 
HF539006.1_26 HF539296.1_26 HF539095.1_1 HF538760.1_1 
HF539071.1_11 HF539071.1_10 HF539067.1_1 HF538652.1_2 
HF539320.1_10 HF538733.1_19 HF539242.1_8 HF538712.1_1 
HF538734.1_1 HF538840.1_3 HF539270.1_2 HF538728.1_1 
HF539304.1_20 HF539195.1_3 HF539117.1_26 
HF538670.1_29 HF538670.1_30 HF539210.1_1 
HF539107.1_6 HF539298.1_8 HF539017.1_2 
HF539325.1_12 HF539092.1_7 HF539121.1_2 
HF539032.1_2 HF538801.1_12 HF538801.1_2 
HF539302.1_13 HF538996.1_3 HF538715.1_1 
HF538860.1_2 HF538980.1_1 HF538865.1_1 
HF538698.1_5 HF539006.1_2 HF538768.1_6 
HF538869.1_9 HF539326.1_19 HF538692.1_20 
HF539057.1_1 HF539279.1_1 HF539307.1_5 
HF538818.1_1 HF539008.1_1 HF538809.1_1 
HF539325.1_19 HF539073.1_1 HF539311.1_6 
HF539309.1_24 HF539309.1_10 HF538986.1_10 
HF538621.1_3 HF538788.1_1 HF538840.1_2 
HF538854.1_4 HF539326.1_18 HF538674.1_1 
HF539309.1_18 HF538801.1_29 HF539302.1_19 
HF538869.1_6 HF538809.1_7 HF538749.1_57 
HF539309.1_9 HF539108.1_12 HF539252.1_1 
HF539054.1_3 HF539318.1_13 HF538749.1_16 
HF538776.1_6 HF539292.1_1 HF538634.1_5 
HF539071.1_1 HF538972.1_1 HF538681.1_1 
HF538976.1_1 HF539134.1_1 HF538962.1_5 
HF539244.1_6 HF538749.1_101 
HF539210.1_19 HF539195.1_5 
HF539244.1_8 HF538675.1_2 
HF538946.1_5 HF539037.1_8 
HF538852.1_12 HF539311.1_3 
HF538698.1_3 HF539326.1_1 
HF539257.1_10 HF539289.1_4 
HF539257.1_11 HF539289.1_3 
HF539210.1_11 HF538999.1_4 
HF539299.1_8 HF539309.1_23 
HF538698.1_9 HF539319.1_19 
HF539304.1_10 HF539309.1_35 
HF538801.1_24 HF538945.1_28 
HF538762.1_5 HF539107.1_7 
HF539311.1_7 HF539321.1_5 
HF539210.1_13 HF538761.1_9 
HF539040.1_2 HF538752.1_6 
HF538824.1_2 HF538784.1_2 
HF539085.1_13 HF538761.1_20 
HF539299.1_6 HF539072.1_5 
HF539318.1_22 HF539244.1_10 
HF538698.1_13 HF539319.1_15 
HF538747.1_17 HF539294.1_1 
HF538978.1_8 HF538747.1_1 
HF539071.1_3 HF539071.1_2 
HF538990.1_5 HF538780.1_3 
HF539244.1_12 HF538804.1_14 
HF538946.1_7 HF539320.1_4 
HF539302.1_10 HF539302.1_12 
HF538698.1_17 HF539319.1_11 
HF538986.1_8 HF539309.1_26 
HF539304.1_14 HF539309.1_31 
HF538868.1_5 HF539107.1_5 
HF538795.1_2 HF538996.1_6 
HF539099.1_6 HF538848.1_16 
HF538852.1_14 HF539311.1_5 
HF539298.1_11 HF538749.1_60 
HF538978.1_5 HF539300.1_2 
HF538698.1_16 HF539319.1_12 
HF538698.1_14 HF539319.1_14 
HF538804.1_9 HF539294.1_3 
HF538804.1_12 HF538994.1_4 
HF539055.1_15 HF539296.1_1 
HF538893.1_7 HF538749.1_53 
HF538698.1_11 HF539319.1_17 
HF538986.1_9 HF539309.1_25 
HF538986.1_5 HF539309.1_29 
HF538698.1_10 HF539319.1_18 
HF539325.1_22 HF539315.1_15 
HF539055.1_17 HF538772.1_1 
HF539302.1_20 HF538896.1_2 
HF539304.1_11 HF539309.1_34 
HF539325.1_25 HF538788.1_4 
HF538698.1_15 HF539319.1_13 
HF539325.1_26 HF539296.1_21 
HF539076.1_5 HF538998.1_4 
HF539257.1_9 HF539289.1_5 
HF538804.1_2 HF539257.1_7 
HF538776.1_4 HF538970.1_1 
HF538772.1_2 HF538749.1_73 
HF539319.1_8 HF538698.1_20 
HF539324.1_5 HF539324.1_13 
HF539257.1_5 HF538981.1_2 
HF539302.1_23 HF539324.1_10 
HF539302.1_24 HF539324.1_9 
HF538670.1_32 HF538749.1_100 
HF538698.1_18 HF539319.1_10 
HF538749.1_38 HF538670.1_9 
HF539324.1_7 HF539302.1_26 
HF538698.1_12 HF539319.1_16 
HF538754.1_4 HF538945.1_25 
HF538758.1_1 HF538963.1_12 
HF538898.1_5 HF538898.1_6 
HF539304.1_7 HF539309.1_38 
HF539302.1_25 HF539324.1_8 
HF538846.1_1 HF538702.1_1 
HF538977.1_19 HF538945.1_21 
HF538986.1_4 HF539309.1_30 
HF539324.1_2 HF539324.1_16 
HF538801.1_27 HF539076.1_1 
HF539092.1_2 HF538978.1_12 
HF538977.1_21 HF539315.1_11 
HF539304.1_9 HF539309.1_36 
HF539304.1_12 HF539309.1_33 
HF538735.1_1 HF538859.1_2 
HF539117.1_11 HF539029.1_2 
HF539222.1_2 HF539322.1_18 
HF539304.1_13 HF539309.1_32 
HF539006.1_22 HF539055.1_25 
HF539182.1_7 HF538621.1_1 
HF538734.1_4 HF539282.1_2 
HF538670.1_19 HF539296.1_5 
HF538749.1_85 HF538980.1_3 
HF539017.1_10 HF538675.1_3 
HF538665.1_1 HF539139.1_2 
HF539304.1_5 HF539309.1_40 
HF539099.1_3 HF538629.1_1 
HF539304.1_6 HF539309.1_39 
HF538698.1_19 HF539319.1_9 
HF539152.1_1 HF539213.1_1 
HF539161.1_4 HF538749.1_23 
HF538986.1_7 HF539309.1_27 
HF538986.1_6 HF539309.1_28 
HF538889.1_2 HF539077.1_1 
HF539302.1_22 HF539324.1_11 
HF539324.1_14 HF539324.1_4 
HF539304.1_8 HF539309.1_37 
HF538692.1_10 HF538692.1_11 
HF539025.1_2 HF538744.1_1 
HF539259.1_1 HF538636.1_1 
HF539322.1_17 HF539222.1_1 
HF539149.1_1 HF538951.1_1 
HF539304.1_4 HF539309.1_41 
HF538688.1_1 HF539238.1_2 
HF539168.1_1 HF539125.1_2 
HF539290.1_4 HF539030.1_1 
HF539324.1_15 HF539324.1_3 
HF538945.1_4 HF538634.1_3 
HF539257.1_13 HF539289.1_1 
HF539222.1_3 HF539322.1_19 
HF539257.1_12 HF539289.1_2 
HF539301.1_18 
HF539296.1_23 
HF538801.1_33 
HF539027.1_4 
HF538973.1_1 
